Institución,Programa,Curso,HorasTotales,Año,FechaInicio,FechaFin,Nivel,Descripcion,URL
FLACSO MÉXICO (Facultad Latinoamericana de Ciencias Sociales Sede Académica México),Diplomado Internacional Políticas Públicas en Sociedades Digitales,"Conferencia: ""Ciencia de datos para la toma de decisiones: la búsqueda de personas desaparecidas""",3,2025,2025/11/20,2025/11/20,Diplomado,,
UNAM - Escuela Nacional de Ciencias Forenses (ENCIF),Licenciatura en Ciencia Forense,"Métodos Avanzados de Identificación (Tema impartido: ""Sistema Angelus: Gestión y análisis documental de la Guerra Sucia entre 1965 y 1982"")",3,2025,2025/10/01,2025/10/01,Licenciatura,,
UNAM - Escuela Nacional de Ciencias Forenses (ENCIF),Licenciatura en Ciencia Forense,Análisis de datos forenses con Python,16,2025,2025/08/25,2025/08/28,Licenciatura,,
FLACSO MÉXICO (Facultad Latinoamericana de Ciencias Sociales Sede Académica México),Diplomado Internacional en Ciencia de Datos para las Ciencias Sociales,"Conferencia: ""Ciencia de datos para la toma de decisiones: la búsqueda de personas desaparecidas""",3,2025,2025/07/30,2025/07/30,Diplomado,,
UNAM - Facultad de Medicina,Licenciatura en Investigación Biomédica Básica,Introducción al análisis datos con Python,96,2025,2025/01/27,2025/06/06,Licenciatura,,
UNAM - Facultad de Medicina,Licenciatura en Investigación Biomédica Básica,Matemáticas,96,2020,2020/09/21,2024/11/29,Licenciatura,,
Alianza Médica para la Salud (AMSA) y Fundación IMSS A.C.,Ética Y Filosofía En Investigación Clínica,Ciencias de la complejidad: ¿Cómo? ¿Quiénes ¿Dónde?,3,2024,2024/08/26,2024/08/27,Diplomado,,
UNAM - Facultad de Medicina,Licenciatura en Investigación Biomédica Básica,Introducción al análisis datos con Python,96,2024,2024/01/29,2024/05/24,Licenciatura,,
Centro de Investigación en Matemáticas - Monterrey,Maestría en Cómputo Estadístico,Análisis y limpieza de datos gubernamentales,15,2023,2023/11/06,2023/11/10,Posgrado,,
Women in Data Science,Women in Data Science,No es lo mismo que lo mesmo: fuzzywuzzy y stemming,2,2020,2020/03/02,2020/03/02,Educación continua,,
