excluir,Tipo,NombreEvento,Título,Organizador,Alcance,InstituciónSede,Direccion,Año,FechaInicio,FechaFin,Autores,Financiamento,Proyecto,Etapa,Prioridad,URL,Imagen
,ponencia,"Metodólogas en Ciencias Sociales. Trayectorias, experiencias y aportes de mujeres que construyen el conocimiento social,","El panorama de los métodos cuantitativos desde la mirada de las investigadoras: contextos, experiencias y desafíos,",FLACSO MÉXICO (Facultad Latinoamericana de Ciencias Sociales Sede Académica México),Nacional,FLACSO MÉXICO (Facultad Latinoamericana de Ciencias Sociales Sede Académica México),"Carr. Picacho - Ajusco 377, Héroes de Padierna, Tlalpan. Ciudad de México 14200",2026,2026/05/20,2026/05/20,Mariana Esther Martínez Sánchez,No,E12-26,,,2026_ponencia_CdMx_MetodologasSociales.pdf,
,ponencia,2do Encuentro de la Red Mexicana de Biología y Matemáticas,"Redes, datos y complejidad: buscando a los desaparecidos de la Guerra Sucia en México",Red Mexicana de Biología y Matemáticas,Nacional,Centro Cultural Gómez Morín,"Av. Luis Pasteur Sur, zona dos extendida, Centro, 76040 Santiago de Querétaro, Qro.",2025,2025/11/03,2025/11/07,Mariana Esther Martínez Sánchez,No,B01-24,,,2025_ponencia_Quer_RedbBioMate.pdf,
,ponencia,Congreso de Ciencias Forenses,Arqueología del archivo: Análisis de datos sobre las Bitácoras Onomásticas del Servicio Médico Forense del Distrito Federal durante los años 1968 a 1982,UNAM - Escuela Nacional de Ciencias Forenses,Nacional,UNAM - Escuela Nacional de Ciencias Forenses,"Ciudad Universitaria, Cd., Mx.",2025,2025/10/22,2025/10/25,"Mariana Esther Martínez Sánchez, Óscar Emmanuel Martínez Ángeles, Zacnité Minor Garduño ",No,B01-24,,,2025_ponencia_CdMx_Forenses.pdf,
,ponencia,Tecnificación de la Búsqueda,Búsqueda de Personas Desaparecidas en Archivos Históricos: El Caso del SEMEFO- DF y la Guerra Sucia,Comité Internacional de la Cruz Roja,Internacional,Hotel Emporio Reforma,"Av. P. de la Reforma 124, Juárez, Cuauhtémoc, 06600 Ciudad de México, CDMX",2025,2025/10/13,2025/10/16,Mariana Esther Martínez Sánchez,No,B01-24,,,2025_platica_CICR_TecnificacionBusqueda.pdf,
x,ponencia,XXVI Escuela de Otoño de Biología Matemática y XX Encuentro de Biología Matemática,Bitácoras Onomásticas del SEMEFO del Distrito Federal de 1968 a 1982,Universidad Tecnológica de la Mixteca,Nacional,Universidad Tecnológica de la Mixteca,"Av. Dr. Modesto Seara Vázquez No. 1. Acatlima, Heroica Ciudad de Huajuapan de León, Oax., México C.P. 69004								",2025,2025/10/6,2025/10/10,"Mariana Esther Martínez Sánchez, Óscar Emmanuel Martínez Ángeles, Zacnité Minor Garduño ",No,B01-24,,,2025_platica_Oaxaca_eobm.pdf,
x,Conversatorio,Conversatorio Docentes,Conversatorio Docentes,UNAM - Facultad de Medicina,Nacional,UNAM - Facultad de Medicina,Auditorio Dr. Raúl Fournier,2025,2025/8/4,2025/8/4,Mariana Esther Martínez Sánchez,No,Colaboracion,,,2025_platica_FMUNAM_ConversatorioDocentes.pdf,
,ponencia,Curso de consultoría del programa Cómputo Estadístico,Predicción de los costos de atención de los pacientes del INER,CIMAT-Monterrey,Nacional,Maestría en Cómputo Estadístico,Online,2025,2025/6/2,2025/6/2,Mariana Esther Martínez Sánchez,No,Colaboracion,,,2025_platica_CIMAT_CostosCOVID.pdf,
,Coordinador,Seminario Impactos de la Inteligencia Artificial en la Sociedad,Seminario Impactos de la Inteligencia Artificial en la Sociedad,UNAM - Centro de Investigaciones Interdisciplinarias en Ciencias y Humanidades,Nacional,UNAM - Centro de Investigaciones Interdisciplinarias en Ciencias y Humanidades,"Torre II de Humanidades 4º, 5º y 6º pisos, Circuito Interior, Ciudad Universitaria Alcaldía Coyoacán, 04510, Ciudad de México",2025,2025/2/10,2025/5/19,"Víctor Mireles, Mariana Esther Martínez Sánchez",No,Colaboracion,,,2025_coordinadora_IAsociedad.pdf,
,ponencia,"Seminario Inteligencia artificial, digitalización, análisis computacional e innovación en sociedades complejas",Angelus: buscando a los desaparecidos de la Guerra Sucia en México,FLACSO MÉXICO (Facultad Latinoamericana de Ciencias Sociales Sede Académica México),Nacional,FLACSO MÉXICO (Facultad Latinoamericana de Ciencias Sociales Sede Académica México),"Carr. Picacho - Ajusco 377, Héroes de Padierna, Tlalpan. Ciudad de México 14200",2025,2025/1/24,2025/1/24,Mariana Esther Martínez Sánchez,No,B01-24,,,2025_platica_FLACSO_angelus.jpg,
x,ponencia,XXV Escuela de Otoño y el XIX Encuentro Nacional de Biología Matemática,Visualización de datos con Python,UEUO-UNAM y CIIDIR - Oaxaca IPN y UPN 201,Nacional, UEUO-UNAM y CIIDIR - Oaxaca IPN y UPN 201,"Av. de la Independencia 1002, Centro, 68000 Oaxaca de Juárez, Oax.",2024,2024/10/7,2024/10/11,Mariana Esther Martínez Sánchez,No,B01-24,,,2024_platica_Oaxaca_eobm.pdf,
x,ponencia,Coloquio Interdisciplinario de perspectivas emergentes de la bioética,Siete preguntas que hacer a un sistema de inteligencia artificial ,AIEHM,Nacional,AIEHM,Plataforma Zoom de AIEHM,2024,2024/08/31,2024/08/31,"Mariana Esther Martínez Sánchez, Victor Mireles Chavez",No,B01-24,,,2024_platica_AEIHM_bioetica.pdf,
