Tipo,NombreEvento,Organizador,Alcance,InstituciónSede,Direccion,Año,FechaInicio,FechaFin,Título,Autores,Proyecto,Etapa,URL,Imagen
Ponente,XXVI Escuela de Otoño de Biología Matemática y XX Encuentro de Biología Matemática,Universidad Tecnológica de la Mixteca,Nacional,Universidad Tecnológica de la Mixteca,"Av. Dr. Modesto Seara Vázquez No. 1. Acatlima, Heroica Ciudad de Huajuapan de León, Oax., México C.P. 69004",2025,2025/10/6,2025/10/10,Bitácoras Onomásticas del SEMEFO del Distrito Federal de 1968 a 1982,"Mariana Esther Martínez Sánchez, Óscar Emmanuel Martínez Ángeles, Zacnité Minor Garduño",B01-24,,,
Conversatorio,Conversatorio Docentes,UNAM - Facultad de Medicina,Nacional,UNAM - Facultad de Medicina,Auditorio Dr. Raúl Fournier,2025,2025/8/4,2025/8/4,Conversatorio Docentes,Mariana Esther Martínez Sánchez,Colaboracion,,,
Ponente,"XXV Escuela de Otoño y el XIX Encuentro Nacional de Biología Matemática, UEUO-UNAM y CIIDIR - Oaxaca IPN y UPN 201",Nacional,UEUO-UNAM y CIIDIR - Oaxaca IPN y UPN 201,"Av. de la Independencia 1002, Centro, 68000 Oaxaca de Juárez, Oax.",2024,2024/10/7,2024/10/11,Visualización de datos con Python,Mariana Esther Martínez Sánchez,No,2024_platica_Oaxaca_eobm.pdf,,,
Ponente,Coloquio Interdisciplinario de perspectivas emergentes de la bioética,AIEHM,Nacional,AIEHM,Plataforma Zoom de AIEHM,2024,2024/08/31,2024/08/31,Siete preguntas que hacer a un sistema de inteligencia artificial,"Mariana Esther Martínez Sánchez, Victor Mireles Chavez",B01-24,,,
Ponente,Seminario: ETICA FILOSOFIA Y COMPLEJIDAD EN INVESTIGACION CLINICA.,Fundación IMSS A.C. / AMSA,Nacional,Fundación IMSS A.C. / AMSA,"Hotel Galería Plaza San Jerónimo, Av. Contreras 300-Interior de la Plaza, San Jerónimo Lídice, La Magdalena Contreras, 10200 Ciudad de México, CDMX, Mexico",2024,2024/08/26,2024/08/27,Ciencias de la complejidad: Como Quienes Donde,Mariana Esther Martínez Sánchez,B01-24,,,
Conversatorio,Exploración de la base de datos del Registro Nacional de Datos de Personas Extraviadas o Desaparecidas con un enfoque de género,UNAM - Instituto de Geofísica,Nacional,UNAM - Instituto de Geofísica,"Circuito de la, Investigación Científica s/n, C.U., Coyoacán, 04150 CDMX",2024,2024/1/1,2024/01/01,Exploración de la base de datos del Registro Nacional de Datos de Personas Extraviadas o Desaparecidas con un enfoque de género,Mariana Esther Martínez Sánchez,Colaboracion,,,
Ponente,56 Congreso Nacional de la Sociedad Matemática Mexicana,Sociedad Matemática Mexicana,Nacional,UASLP,San Luis Potosí,2023,2023/10/23,2023/10/27,"Redes Booleanas en el sistema inmune: heterogeneidad, plasticidad y ambiente",Mariana Esther Martinez Sanchez,,,,
Ponente,Ciclo de Conferencias 2023 -2 del Laboratorio de Tecnociencias del Centro de Estudios Críticos en Cultura Contemporánea,Universidad Autónoma de Querétaro y el Centro de Estudios Críticos en Cultura Contemporánea,Nacional,Laboratorio de Tecnociencias del Centro de Estudios Críticos en Cultura,"Concord Carr. a, Chichimequillas S/N, Ejido Bolaños, 76140 Santiago de Querétaro, Qro.",2023,2023/9/7,2023/9/7,El Grafo de Conocimiento Angelus para arrojar luz sobre las violaciones a los derechos humanos durante la Guerra Sucia en México,Mariana Esther Martínez Sánchez,,,,
Ponente,La presencia intelectual y humana de Germinal Cocho (1933-2019) en las ciencias de la complejidad,"UACM, Colegio de Ciencias y Humanidades",Nacional,"UACM, Plantel Del Valle",Plantel Del Valle,2023,2023/05/02,2023/05/04,Análisis e redes: de la inmunología a la desaparición forzada,Mariana Esther Martínez Sánchez,,,,
Conversatorio,Congreso Internacional de Ordenación Territorial Hacia la Sostenibilidad 2022,Facultad de Geografía de la UAEMéx,Internacional,UAEMéx,Online,2022,2022/10/12,2022/10/14,Ciencia de datos aplicada al análisis territorial: prospectivas y retos,Mariana Esther Martínez Sánchez,,,,
Ponente,IV Congreso Nacional de Divulgación y Difusión en Investigación en Medicina,FES Iztacala,Nacional,FES Iztacala,Online,2022,2022/9/28,2022/9/30,Prediciendo el comportamiento dinámico de los linfocitos T cooperadores y COVID-19 con redes de regulación,Mariana Esther Martínez Sánchez,,,,
Ponente,Sesión General,INER,Nacional,INER,Auditorio Fernando Rébora Gutiérrez,2022,2022/08/10,2022/08/10,Redes en biología: de los genes al sistema inmune y a las personas,Mariana Esther Martínez Sánchez,,,,
