excluir,Institución,Código,Avance,Título,Investigadores,FechaInicio,FechaFin,Financiamiento,Situación,LineaInv,Grupo,Prioridad,URL,Archivos,Imagen
x,INER,HBO-SEMEFO,10%,Análisis temporal de Bitácoras Onomásticas del SEMEFO-DF de 1968 a 1982.,Mariana Esther Martínez Sánchez,2026/05/26,2028/05/26,,Inicio,Otro: Tecnologías de la información,Laboratorio de Biología Computacional
,SECIHTI,LEGO,10%,"Métodos de IA para la homologación, integración y análisis de bases de datos de salud y seguridad","Mariana Esther Martínez Sánchez, Víctor Míreles Chávez, Víctor Hugo Muñiz Sánchez",2026/04/01,,SECIHTI CBF-2025-G-1031,Inicio,Ingeniería de sistemas / Sistemas de información / Homologación de bases de datos,"CEIICH-UNAM, CIMAT Monterrey, INER",,,"DocumentaciónSecihti, LEGo_INER_Protocolo"
x,INER-CIMAT,CostosCOVID,80%,Análisis de series de tiempo de los gastos durante la pandemia de COVID-19 en el Instituto Nacional de Enfermedades Respiratorias,"Oscar Uriel Pérez Salazar, Mariana Esther Martínez Sánchez, Víctor Hugo Muñiz Sánchez",2022/06/01,,,Proceso,Tesis,CIMAT Maestría en computo estadístico,,,TESIS_OUPS
x,INER,EDRresp,10%,"Análisis epidemiológico de la mortalidad por causas respiratorias en México, 2015-2024","Pamela Yamileé Calderón Cuevas, Mariana Esther Martínez Sánchez",2026/06/01,,,Proceso,Tesis,Laboratorio de Biología Computacional,,,EdrTesis
x,INER,ThCircuits,10%,Relación entre los circuitos de regulación y la plasticidad de los diferentes subtipos de los linfocitos T CD4+,"Mariana Esther Martínez Sánchez, Tanya Isabel Rivera Gallegos",2026/01/12,,,Proceso,Básica (bioinformática),Laboratorio de Biología Computacional,,,ThCircuits
x,INER-CEIICH,ImpactoIA,50%,Artículo Impactos de la Inteligencia Artificial en la Sociedad,"Mariana Esther Martínez Sánchez, Víctor Míreles Chávez",2026/05/19,,,Proceso,Otro: Tecnologías de la información,Seminaro Impactos AI,,,Articulo_ImpactosIA
x,CIMAT,OCR,29%,OCR de documentos Angelus,"Mariana Esther Martínez Sánchez, Víctor Míreles Chávez, Víctor Hugo Muñiz Sánchez",2020/10/16,,,Proceso,Otro: Tecnologías de la información,Equipo Angelus,,,Alumnos
,INER-CEIICH,ImpactoIA,100%,Seminario Impactos de la Inteligencia Artificial en la Sociedad,"Mariana Esther Martínez Sánchez, Víctor Míreles Chávez",2024/08/19,2025/05/19,,Terminado,Otro: Tecnologías de la información,Seminaro Impactos AI,,https://www.youtube.com/@seminarioimpactosia,Eventos_2021-2025
x,INER-WSC,IAsalud,100%,Siete preguntas que hacer a un sistema de inteligencia artificial,"Mariana Esther Martínez Sánchez, Víctor Míreles Chávez",2024/04/16,2025/03/07,,Terminado,Básica (bioinformática),Laboratorio de Biología Computacional,,,2024_BioeticaIA_SietePreguntasSistemaIA
,INER,HBO-SEMEFO,100%,Sistematización y análisis demográfico de Bitácoras Onomásticas del SEMEFO-DF de 1968 a 1982.,"Martínez Sánchez Mariana Esther, Yankelevich Winocur Javier, San Vicente Juambelz Lucero, Martínez Angeles Oscar Emmanuel",2024/01/01,2025/12/31,,Terminado,Otro: Tecnologías de la información,Laboratorio de Biología Computacional,,,SEMEFO_ProtocoloINER
x,INER,Macrofagos,100%,"Cyclic Attractors Are Critical for Macrophage Differentiation, Heterogeneity, and Plasticity","Manuel Azaid Ordaz-Arias, Laura Díaz-Alvarez, Joaquín Zúñiga, Mariana Esther Martinez-Sánchez, Yalbi Itzel Balderas-Martínez",2021/10/06,2022/04/10,,Terminado,Tesis,Laboratorio de Biología Computacional,,https://www.frontiersin.org/journals/molecular-biosciences/articles/10.3389/fmolb.2022.807228/full
,CNB-CONAHCYT,Angelus,100%,Angelus: buscando a los desaparecidos de la Guerra Sucia en México con grafos del conocimiento,"Javier Yankelevich Winocur (institucional), Víctor Mireles (técnica), Mariana Esther Martínez Sánchez (datos), Gerardo Sánchez Nateras (institucional), Tamara Donají Valencia (anotación y capacitación), Lucero San Vicente (anotación), Hector Bravo (archivo), Efrain Navarro (anotación), Carlos Inclán (anotación)",2019/02/01,2024/12/31,SECIHTI,Terminado,ENI,Equipo Angelus,,https://seguridad.conahcyt.mx/guerra-sucia/angelus
x,INER,Modelo TB,0%,Modelo TB,,2025/09/03,,,"Abandonado: Se solicito el proyecto, hay interes del CIMAT, pero faltan datos para generar modelos",Básica (bioinformática)
x,INER,Solaris,75%,Solaris,,2025/04/03,,,Abandonado: Se análisaron los datos y tuvieron reuniones con colaboradores. Informe y seguimiento enviados. No respuesta.,Básica (bioinformática),,,,FibrosisSOLARIS.zip
x,INER,CostosCOVID,80%,Impacto económico de la atención a pacientes críticos por COVID-19 en un centro de referencia nacional en México: análisis retrospectivo 2020-2023,"Justino Regalado Pineda, Oscar Uriel Pérez Salazar, Mariana E Martinez-Sanchez, David Escudero Garcia, Adriana Díaz, Liliana Morales, Jorge Salas Hernández",2024/01/01,,,"Abandonado: Artículo escrito, falta VoBo coautores. No respuesta.",Colaboración,INER,,,Articulo COVID
x,INER,TS,10%,Análisis de bases de datos de trabajo social,,2022/01/01,,,Abandonado: se realizo revisión inicial de datos. No contestación de colaboradores.,Colaboración,Laboratorio de Biología Computacional,,,2022_BasesDatosTrabajoSocial
