Institución,Código,Avance,Título,Investigadores,FechaInicio,FechaFin,Financiamiento,Situación,LineaInv,Grupo,Prioridad,URL,Imagen
INER,HBO-SEMEFO,10%,Análisis temporal de Bitácoras Onomásticas del SEMEFO-DF de 1968 a 1982.,Mariana Esther Martínez Sánchez,2026/05/26,2028/05/26,,Inicio,Otro: Tecnologías de la información,Laboratorio de Biología Computacional,,,
INER-CIMAT,CostosCOVID,80%,Análisis de series de tiempo de los gastos durante la pandemia de COVID-19 en el Instituto Nacional de Enfermedades Respiratorias,"Oscar Uriel Pérez Salazar, Mariana Esther Martínez Sánchez, Víctor Hugo Muñiz Sánchez",2022/06/01,,,Proceso,Tesis,CIMAT Maestría en computo estadístico,,,
INER,EDRresp,10%,"Análisis epidemiológico de la mortalidad por causas respiratorias en México, 2015-2024","Pamela Yamileé Calderón Cuevas, Mariana Esther Martínez Sánchez",2026/06/01,,,Proceso,Tesis,Laboratorio de Biología Computacional,,,
INER,ThCircuits,10%,Relación entre los circuitos de regulación y la plasticidad de los diferentes subtipos de los linfocitos T CD4+,"Mariana Esther Martínez Sánchez, Tanya Isabel Rivera Gallegos",2026/01/12,,,Proceso,Básica (bioinformática),Laboratorio de Biología Computacional,,,
INER-CEIICH,ImpactoIA,50%,Artículo Impactos de la Inteligencia Artificial en la Sociedad,"Mariana Esther Martínez Sánchez, Víctor Míreles Chávez",2026/05/19,,,Proceso,Otro: Tecnologías de la información,Seminaro Impactos AI,,,
CIMAT,OCR,29%,OCR de documentos Angelus,"Mariana Esther Martínez Sánchez, Víctor Míreles Chávez, Víctor Hugo Muñiz Sánchez",2020/10/16,,,Proceso,Otro: Tecnologías de la información,Equipo Angelus,,,
INER-WSC,IAsalud,100%,Siete preguntas que hacer a un sistema de inteligencia artificial,"Mariana Esther Martínez Sánchez, Víctor Míreles Chávez",2024/04/16,2025/03/07,,Terminado,Básica (bioinformática),Laboratorio de Biología Computacional,,,
INER,Macrofagos,100%,"Cyclic Attractors Are Critical for Macrophage Differentiation, Heterogeneity, and Plasticity","Manuel Azaid Ordaz-Arias, Laura Díaz-Alvarez, Joaquín Zúñiga, Mariana Esther Martinez-Sánchez, Yalbi Itzel Balderas-Martínez",2021/10/06,2022/04/10,,Terminado,Tesis,Laboratorio de Biología Computacional,,https://www.frontiersin.org/journals/molecular-biosciences/articles/10.3389/fmolb.2022.807228/full,
INER,Modelo TB,0%,Modelo TB,,2025/09/03,,,"Abandonado: Se solicito el proyecto, hay interes del CIMAT, pero faltan datos para generar modelos",Básica (bioinformática),,,,
INER,Solaris,75%,Solaris,,2025/04/03,,,Abandonado: Se análisaron los datos y tuvieron reuniones con colaboradores. Informe y seguimiento enviados. No respuesta.,Básica (bioinformática),,,,
INER,CostosCOVID,80%,Impacto económico de la atención a pacientes críticos por COVID-19 en un centro de referencia nacional en México: análisis retrospectivo 2020-2023,"Justino Regalado Pineda, Oscar Uriel Pérez Salazar, Mariana E Martinez-Sanchez, David Escudero Garcia, Adriana Díaz, Liliana Morales, Jorge Salas Hernández",2024/01/01,,,"Abandonado: Artículo escrito, falta VoBo coautores. No respuesta.",Colaboración,INER,,,
INER,TS,10%,Análisis de bases de datos de trabajo social,,2022/01/01,,,Abandonado: se realizo revisión inicial de datos. No contestación de colaboradores.,Colaboración,Laboratorio de Biología Computacional,,,
