excluir,Tipo,Autores,Título,RevistaEditorial,Fecha,VolumenNumPag,ISSN,DOI,FactorImpacto,Proyecto,Etapa,Financiamiento,Colaboraciones,Prioridad,URL,PDF
,Artículo,"Oscar Emmanuel Martínez Angeles, Zacnité Minor Garduño, Mariana Esther Martínez-Sánchez",Análisis bio-demográfico de la mortalidad en la Ciudad de México (1968-1982) a partir del Archivo Histórico de Bitácoras Onomásticas,Revista Argentina de Antropologia Biologica,2026,En revisión,1853-6387,,Latindex (G1),B01-24 Sistematización y análisis demográfico de Bitácoras,,INER,CNB,,,
,Artículo,"Mariana Esther Martínez Sánchez, Tamara Donají Valencia López",Visualizar la desaparición forzada: grafos de conocimiento para la búsqueda y la verdad,Perfiles Latinoamericanos,2026,"34 (67), 63-88",2309-4982,10.18504/pl3467-001-2026,0.18 (G2),B01-24 Sistematización y análisis demográfico de Bitácoras,,INER,CNB,,,
,Capítulo,"Mariana Esther Martinez-Sanchez, Víctor Mireles-Chávez",Siete preguntas que hacer a un sistema de inteligencia artificial (Perspectivas Interdisciplinarias de la bioética),"Lambda editorial, México",2025,"1, 48-79",978-607-8986-43-9,,Dictaminado (GD),B01-24 Sistematización y análisis demográfico de Bitácoras,,INER,CNB,,https://lambdaeditorial.com/product/perspectivas-interdisciplinarias-de-la-bioetica/,
,ENI,"Javier Yankelevich Winocur, Víctor Mireles Chavez, Mariana Esther Martínez Sánchez, Gerardo Sánchez Nateras, Tamara Donají Valencia, Lucero San Vicente, Hector Bravo, Efrain Navarro, Carlos Inclán",Angelus - Esclarecimiento de violaciones graves de derechos humanos por medio de grafos de conocimiento construidos a partir de documentos,CONAHCYT,2024,,,,,,,CONAHCYT,CNB,,https://seguridad.conahcyt.mx/guerra-sucia/angelus,
,Artículo,"Laura Díaz-Alvarez, Mariana Martínez-Sánchez, Eleanor Gray, Erandi Pérez-Figueroa, Enrique Ortega",Aminopeptidase N/CD13 Crosslinking Promotes the Activation and Membrane Expression of Integrin CD11b/CD18,Biomolecules,2023,"13 (10), 1488",2218-273X,10.3390/BIOM13101488,0.75 (G4),,,INER,,,,
,Artículo,"Mariana Martinez-Sánchez, José Choreño-Parra, Elena Álvarez-Buylla, Joaquín Zúñiga, Yalbi Balderas-Martínez",CD4+ T Cell Regulatory Network Underlies the Decrease in Th1 and the Increase in Anergic and Th17 Subsets in Severe COVID-19,Pathogens,2022,"12 (1), 18",20760817,10.3390/PATHOGENS12010018,0.7 (G4),,,INER,,,,
,Artículo,"Ordaz-Arias, M., Díaz-Alvarez, L., Zúñiga, J., Martinez-Sanchez M.E., Balderas-Martinez, Y.","Cyclic Attractors Are Critical for Macrophage Differentitation, Heterogeneity, and Plasticity",Front Mol Biosci,2022,"9, 807228",2296889X,10.3389/FMOLB.2022.807228,4 (G4),,,INER,,,,
,Reporte,Mariana Esther Martínez Sánchez,"Consultoría Asistencia técnica para fortalecer el desarrollo de métodos de búsqueda de personas en bases de datos históricas, e incrementar el aprovechamiento del sistema informático Angelus",RedDH,2022,,,,,,,USAID,CNB,,,
,Dataset,"Victor Mireles, Mariana Martínez Sánchez, Lucero San Vicente, Tamara Donaji Valencia, Hector Bravo, Daniel Efraín Navarro Granados, Gerardo Sánchez Nateras, Javier Yankelevich Winocur",Proyecto Angelus: Primer Conjunto de Datos Público,Zenodo,2022,,,10.5281/zenodo.7542189,,,,CONAHCYT,CNB,,,
,Reporte,"Victor Mireles, Mariana Martínez Sánchez, Lucero San Vicente, Tamara Donaji Valencia, Hector Bravo, Daniel Efraín Navarro Granados, Gerardo Sánchez Nateras, Javier Yankelevich Winocur",Proyecto Angelus: Primer reporte de anotación,Zenodo,2022,,,10.5281/zenodo.7552704,,,,CONAHCYT,CNB,,,
,Artículo,"Víctor Mireles, Mariana Martínez Sánchez, Javier Yankelevich, Gerardo Sánchez",Buscando a los desaparecidos de la guerra sucia: ontologías computacionales y la búsqueda de verdad,Iberoforum,2021,,20070675,10.48102/IF.2021.V1.N1.149,Latindex (G1),,,,,,,
,Artículo,"Choreño-Parra, J. A., Jiménez-Álvarez, L. A., Cruz-Lagunas, A., Rodríguez-Reyna, T. S., Ramírez-Martínez, G., Sandoval-Vega, M., Hernández-García, D. L., Choreño-Parra, E. M., Balderas-Martínez, Y. I., Martínez-Sánchez, M. E",Clinical and immunological factors that distinguish COVID-19 from pandemic influenza A (H1N1),Front Immunol,2021,"12, 593595",16643224,0.3389/FIMMU.2021.593595,5.9 (G4),,,,,,,
,Artículo,"Marín, L., Martínez-Sánchez, M.E., Sagot, P., Navarrete, D., Morales, H.",Floral visitors in urban gardens and natural areas: Diversity and interaction networks in a neotropical urban landscape,Basic Appl Ecol,2020,"43, 3-15",14391791,10.1016/J.BAAE.2019.10.003,3.5 (G4),,,,,,,
,Artículo,"Navarro-Díaz, M., Martinez-Sanchez, M.E., Valdez-Vazquez, I., Escalante, A.",A framework for integrating functional and microbial data: The case of dark fermentation H2 production,Int J Hydrogen Energ,2020,"45 (56), 31706-31718",3603199,10.1016/J.IJHYDENE.2020.08.189,8.3 (G5),,,,,,,
,Reporte,Mariana Esther Martínez Sánchez,Consultoría de Asistencia Técnica para el Fortalecimiento del Sistema Informático Angelus para la Organización de Documentos sobre Desapariciones Forzada durante la Guerra Sucia,EnfoqueDH,2020,,,,,,,USAID,CNB,,,
,Artículo,"Martinez-Sanchez, M.E., Huerta, L., Alvarez-Buylla, E.R., Villarreal, C.","Role of cytokine combinations on CD4+ T cell differentiation, partial polarization, and plasticity: continuous network modeling approach",Front Physiol,2018,"9, 877",2296424X,10.3389/FPHYS.2018.00877,3.4 (G4),,,,,,,
,Libro,"María Elena Álvarez-Buylla Roces, Juan Carlos Martínez-García, José Dávila-Velderrain, Elisa Domínguez-Hüttinger, Mariana Esther Martínez-Sánchez",Modeling Methods for Medical Systems Biology: Regulatory Dynamics Underlying the Emergence of Disease Processes,"Springer International Publishing, USA",2018,"1, 258",978-3-319-89353-2,10.1007/978-3-319-89354-9,No Dictaminado (GB),,,,,,,
,Reporte,"Mariana Esther Martínez-Sánchez, Edgar Vargas Frías, Adriana Cristina Pliego Carrillo, Silvia Zenteno de León, Carlos Alberto Velázquez Olivera",(Proto) escritores de ciencia en Cienciorama,Revista Digital Universitaria,2018,"19, 2",1607-6079,10.22201/codeic.16076079e.2018.v19n2.a8,,,,,,,,
,Artículo,"Mariana Martinez-Sanchez, Marcia Hiriart, Elena Alvarez-Buylla",The CD4+ T cell regulatory network mediates inflammatory responses during acute hyperinsulinemia: a simulation study,Bmc Systems Biology,2017,"11 (1), 64",17520509,10.1186/S12918-017-0436-Y,2 (G4),,,,,,,
,Artículo,"Eugenio Azpeitia, Stalin Muñoz, Daniel González-Tokman, Mariana Martínez-Sánchez, Nathan Weinstein, Aurélien Naldi, Elena Álvarez-Buylla, David Rosenblueth, Luis Mendoza",The combination of the functionalities of feedback circuits is determinant for the attractors number and size in pathway-like Boolean networks,Sci Rep-Uk,2017,"7 (1), 42023",20452322,10.1038/SREP42023,3.9 (G4),,,,,,,
,Artículo,"Mariana Martinez-Sanchez, Luis Mendoza, Carlos Villarreal, Elena Alvarez-Buylla",A minimal regulatory network of extrinsic and intrinsic factors recovers observed patterns of CD4+ T cell differentiation and plasticity,Plos Comput Biol,2015,"11 (6), e1004324",1553734X,10.1371/JOURNAL.PCBI.1004324,3.6 (G4),,,,,,,
,Artículo,Mariana Esther Martínez-Sánchez,Dinámica de la diferenciación de células Th: modelación con redes booleanas,Foro-Red-Mat: Revista Electrónica de Contenido Matemático,2011,,9823107,,,,,,,,,
,Artículo,Mariana Esther Martínez-Sánchez,Modelo de la interacción virus-huésped durante la primera etapa de la infección por VIH,Foro-Red-Mat: Revista Electrónica de Contenido Matemático,2011,,9823107,,,,,,,,,
